CID,Type,Impact,First Detected,Severity,Component,File,Function,1. ABK_Code_Type,2. ABK_Classification,ABK_Tags,3. ABK_Initial_Triaged,ABK_AutoTriage,Checker,CWE,Comparison,Issue Kind,Last Snapshot Stream,Line Number
29293,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_scr_main.cpp,ScrCmd_ItemWeaponSetAmmo,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29295,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_missile.cpp,Scr_MissileDeleteAttractor,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,1425
29296,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/bgame/bg_scr_main.cpp,BGScr_ModelHasTag,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,6698
29297,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,Scr_Target_SetScaledRenderMode,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29299,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_scr_main.cpp,GScr_GetGestureNotetrackTimes,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,31929
29301,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,Scr_Target_SetRadarCenter,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29302,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,ScrGetTargetScreenPos,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29303,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,Scr_Target_Alloc,Production,Not Exploitable,,2025-04-07,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,481
29304,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_objectives.cpp,Scr_Objective_SetLocation,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29305,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/script/scr_readwrite.cpp,Scr_DoLoadEntity,Production,Suspicious,,2025-04-08,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1328
29306,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/nav_query.cpp,Nav_CalcAreaBoundsAndArea,Production,Not Exploitable,,2025-04-15,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29307,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,Scr_Target_DrawRotated,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29308,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_damage_parts.cpp,AddDamagePart,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29309,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/server_sp/sv_transients_sp.cpp,Scr_TransientsSP_LoadTransient,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,1222
29310,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_scr_main.cpp,ScrCmd_GetAttachModelName,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,12127
29312,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,Scr_Target_SetPlayerVisibility,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29316,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,GScr_MainMP_IsEnumValueValid,Production,Suspicious,,2025-04-09,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,10256
29318,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_scr_weapon.cpp,GScr_Weapon_SetWeapon,Production,Suspicious,,2025-04-08,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,3785
29319,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/bgame/bg_scr_main.cpp,BGScr_StrTok,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29322,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/db_generated/archive/db_archive_preload.h,Preload_XAnimDeltaPartQuatData2,Production,False Positive,,2025-03-27,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,142699
29327,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_objectives.cpp,Scr_Objective_GetLocation,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1666
29330,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/server_sp/sv_transients_sp.cpp,Scr_TransientsSP_LoadStartPointTransients,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,1656
29331,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/bgame/bg_scr_main.cpp,BGScr_GetSubStr,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29333,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/bgame/bg_scr_main.cpp,BGScr_SetSavedDvar,Production,Suspicious,AI,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,7495
29334,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game_mp/g_client_script_cmd_mp.cpp,PlayerCmd_GetCodcasterTeam,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,Various
29338,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_scr_main.cpp,GScr_ForcePlayGestureViewmodel,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,31402
29339,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,Scr_Target_DrawCornersOnly,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29343,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/server_sp/sv_transients_sp.cpp,Scr_TransientsSP_LoadTransient,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1248
29345,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/db_generated/archive/db_archive_preload.h,Preload_XAnimDeltaPartQuatData,Production,False Positive,,2025-03-27,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,142805
29348,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_targets.cpp,Scr_Target_SetMaxSize,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,Various
29350,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game_mp/g_client_script_cmd_mp.cpp,PlayerCmd_SetCodcasterStat,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,6872
29352,Out-of-bounds read,High,03/19/25,Critical,Other,/code/src/server_sp/sv_transients_sp.cpp,Scr_TransientsSP_UnloadTransient,Production,Not Exploitable,,2025-03-21,false,OVERRUN,125,Absent,Various,ATVI-CoD-trunk,1306
29359,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game/g_damage_parts.cpp,AddDamagePart,Production,Not Exploitable,,2025-03-21,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,457
29360,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_iw9/game_mp/g_client_script_cmd_mp.cpp,PlayerCmd_SetCodcasterStat,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,6906
29365,Out-of-bounds write,High,03/19/25,Critical,Other,/code/src/game_shared/game_mp/vehicles/g_vehicle_script_mp.cpp,GScr_Vehicle_ClearSticker,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,737
29366,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/server_sp/sv_transients_sp.cpp,Scr_TransientsSP_LoadStartPointTransients,Production,Not Exploitable,,2025-03-20,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,1666
29367,Out-of-bounds access,High,03/19/25,Critical,Other,/code/src/db_generated/archive/db_archive_load.h,Load_XAnimPartTransData,Production,False Positive,,2025-03-27,false,OVERRUN,119,Absent,Various,ATVI-CoD-trunk,138915
