name,help,type,message,file,start_line,start_offset,end_line,end_offset
CID23844-Destination buffer too small,23844 Suspicious,STRING_OVERFLOW,Destination buffer too small,/code/src/universal/info_parse_util.cpp,550,0,550,0
CID23609-Untrusted value as argument,23609 Suspicious,TAINTED_SCALAR,Untrusted value as argument,/code/src/server_mp/sv_snapshot_mp.cpp,Various,0,Various,0
CID23599-Out-of-bounds access,23599 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_save_sp.cpp,1655,0,1655,0
CID23530-Out-of-bounds access,23530 Suspicious,OVERRUN,Out-of-bounds access,/code/src/WaterDynamics/WaterDynamics_Physics.cpp,218,0,218,0
CID23524-Out-of-bounds access,23524 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_save_sp.cpp,1736,0,1736,0
CID23091-Out-of-bounds read,23091 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3292,0,3292,0
CID23029-Out-of-bounds access,23029 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/bg_emote.cpp,958,0,958,0
CID22919-Out-of-bounds access,22919 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/player_socialdata/player_socialdata_system.inl,Various,0,Various,0
CID22888-Out-of-bounds access,22888 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/vehicles/bg_vehicle_physics.cpp,4553,0,4553,0
CID22871-Out-of-bounds access,22871 Suspicious,OVERRUN,Out-of-bounds access,/code/src/WaterDynamics/WaterDynamics_Physics.cpp,207,0,207,0
CID22860-Out-of-bounds access,22860 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_shared/bgame/vehicles/bg_vehicle_physics.cpp,4535,0,4535,0
CID22792-Out-of-bounds read,22792 Suspicious,OVERRUN,Out-of-bounds read,/code/src/snd/sd_mix_voice.cpp,Various,0,Various,0
CID22768-Out-of-bounds write,22768 Suspicious,OVERRUN,Out-of-bounds write,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,221,0,221,0
CID22709-Out-of-bounds access,22709 Suspicious,OVERRUN,Out-of-bounds access,/code/src/physics/Private/Core/PhysicsRT_Ref.cpp,537,0,537,0
CID22665-Out-of-bounds access,22665 Suspicious,OVERRUN,Out-of-bounds access,/code/src/dw/dwLobbyEventHandler.h,Various,0,Various,0
CID22641-Out-of-bounds read,22641 Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_scene.cpp,Various,0,Various,0
CID22543-Out-of-bounds read,22543 Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_scene.cpp,12039,0,12039,0
CID22455-Out-of-bounds access,22455 Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CustomElement_Anchored.cpp,572,0,572,0
CID22395-Out-of-bounds access,22395 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/net_thread.cpp,Various,0,Various,0
CID22357-Out-of-bounds access,22357 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_weapons.cpp,5457,0,5457,0
CID22183-Untrusted value as argument,22183 Suspicious,TAINTED_SCALAR,Untrusted value as argument,/code/src/server_mp/sv_snapshot_mp.cpp,4811,0,4811,0
