name,help,type,message,file,start_line,start_offset,end_line,end_offset,matched_function,function_length,function_start_line,function_end_line
CID27415-Out-of-bounds read,27415 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame/cg_client_character.cpp,2458,0,2458,0,CG_ClientCharacter_Reset,53,2414,2466
CID27392-Out-of-bounds read,27392 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_shared/bgame/common_item/bg_common_item.cpp,796,0,796,0,BG_CommonItem_CheckIfItemDefHasTag,31,792,822
CID27377-Out-of-bounds access,27377 Suspicious,OVERRUN,Out-of-bounds access,/code/src/weather/weather_griddynamic.cpp,428,0,428,0,Weather_GridDynamic_ShutdownContext,10,428,437
CID27376-Out-of-bounds access,27376 Suspicious,OVERRUN,Out-of-bounds access,/code/src/weather/weather_griddynamic.cpp,369,0,369,0,Weather_GridDynamic_IsPrecipitating,27,361,387
CID27190-Out-of-bounds write,27190 Suspicious,OVERRUN,Out-of-bounds write,/code/common/libs/fracture/fracture/half_edge_clipper.cpp,36,0,36,0,GetHalfEdgeMesh,24,15,38
CID27094-Out-of-bounds read,27094 Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_binarypatch_load.cpp,501,0,501,0,DB_BinaryPatch_BeginManifestLoad,43,486,528
CID27093-Out-of-bounds read,27093 Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_binarypatch_load.cpp,505,0,505,0,DB_BinaryPatch_BeginManifestLoad,43,486,528
CID27055-Out-of-bounds read,27055 Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,5538,0,5538,0,stbi__parse_huffman_block,82,5506,5587
CID27054-Out-of-bounds read,27054 Suspicious,OVERRUN,Out-of-bounds read,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,440,0,440,0,PatchCollision_AreaSwap_GetShapeForLoad,18,430,447
CID27044-Out-of-bounds write,27044 Suspicious,OVERRUN,Out-of-bounds write,/code/src/netconststrings/NetConstStrings_dvar.cpp,196,0,196,0,NetConstStrings_RegisterScriptDvars,101,104,204
CID27034-Out-of-bounds read,27034 Suspicious,OVERRUN,Out-of-bounds read,/code/src/database/db_zones.cpp,383,0,383,0,operator(),6,3544,3559
CID27025-Out-of-bounds read,27025 Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/atvi_stb_image.cpp,5548,0,5548,0,stbi__parse_huffman_block,82,5506,5587
CID27016-Buffer not null terminated,27016 Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/online/online_archive_replay_playback.cpp,1412,0,1412,0,Online_ArchiveReplayPlayback_Setup,57,1381,1437
CID26822-Illegal address computation,26822 Suspicious,OVERRUN,Illegal address computation,/code/src/lui/LUI_CoD_Functions.cpp,5723,0,5723,0,Engine_GetDownloadHistoryData,43,5709,5751
CID26790-Out-of-bounds access,26790 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_storage.cpp,1692,0,1692,0,LiveStorage_GetPlayerDataBufferSize,18,1685,1702
CID26768-Out-of-bounds access,26768 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_player_data.cpp,316,0,316,0,Com_PlayerData_GetRawDataOffset,4,315,318
CID26671-Out-of-bounds access,26671 Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/online_userprofiles/online_userprofiles_manager.cpp,377,0,377,0,GetProfileVersion,19,368,386
CID26580-Out-of-bounds access,26580 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/net_packet.cpp,214,0,214,0,GetChannel,5,211,215
CID26523-Out-of-bounds access,26523 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_player_data.cpp,310,0,310,0,Com_PlayerData_GetStatsBlobDataSize,6,307,312
CID26379-Out-of-bounds write,26379 Suspicious,OVERRUN,Out-of-bounds write,/code/src/dynentity/DynEntity_client.cpp,2366,0,2366,0,DynEntCL_DeferredCollisions_ExecuteVelocitiesSubRequestRun,93,2336,2428
CID26284-Illegal address computation,26284 Suspicious,OVERRUN,Illegal address computation,/code/src/qcommon/net_dtls.cpp,227,0,227,0,RecvFrom,36,208,243
CID26273-Out-of-bounds access,26273 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_storage.cpp,1620,0,1620,0,LiveStorage_GetStatsBufferForSource,9,1615,1623
CID26235-Out-of-bounds access,26235 Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/com_player_data.cpp,322,0,322,0,Com_PlayerData_IsModifiedFlagSet,4,321,324
CID26124-Out-of-bounds access,26124 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame_sp/cg_servercmds_sp.cpp,897,0,897,0,CG_ServerCmdSP_ScreenShakeOnEnt,16,892,907
CID26045-Copy into fixed size buffer,26045 Suspicious,STRING_OVERFLOW,Copy into fixed size buffer,/code/src/online/online_instance_inventory_common.cpp,79,0,79,0,Online_InstanceInventory_ReadGameModeSettings,339,52,390
CID25987-Out-of-bounds access,25987 Suspicious,OVERRUN,Out-of-bounds access,/code/src/WaterDynamics/WaterDynamics_PhysicsBehavior.cpp,989,0,989,0,WaterDynamic_PhysicsBehaviour_IsInDelay,7,985,991
CID25764-Out-of-bounds access,25764 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_utils.cpp,1168,0,1168,0,CG_Utils_ProcessNotetracksWorldRemap,28,1152,1179
CID25502-Out-of-bounds access,25502 Suspicious,OVERRUN,Out-of-bounds access,/code/src/dynentity/DynEntity_spatial.cpp,633,0,633,0,DynEntCL_Spatial_MarkIfMissingCollisionTiles,52,592,643
CID25232-Out-of-bounds write,25232 Suspicious,OVERRUN,Out-of-bounds write,/code/libs/ddl/src/ddl/ddl_parse.cpp,386,0,386,0,DDL_ParseExt,303,276,578
CID25193-Out-of-bounds read,25193 Suspicious,OVERRUN,Out-of-bounds read,/code/libs/ddl/src/ddl/ddl_parse.cpp,199,0,199,0,DDL_BeginParseSession,21,181,201
CID25077-Out-of-bounds access,25077 Suspicious,OVERRUN,Out-of-bounds access,/code/src/client_mp/cl_parse_mp.cpp,888,0,888,0,CL_ParseMP_ParsePacketEntities,260,667,926
CID24664-Copy into fixed size buffer,24664 Suspicious,STRING_OVERFLOW,Copy into fixed size buffer,/code/src/online/online_archive_replay_playback.cpp,4252,0,4252,0,Step,131,4243,4373
CID24579-Illegal address computation,24579 Suspicious,OVERRUN,Illegal address computation,/code/src/stream/stream_defrag.cpp,4759,0,4759,0,ResolveNewAddr,89,4703,4791
CID24293-Out-of-bounds read,24293 Suspicious,OVERRUN,Out-of-bounds read,/code/src/xanim/dobj.cpp,7288,0,7288,0,DObjGetBasePoseMatrix,38,7277,7314
CID24015-Out-of-bounds write,24015 Suspicious,OVERRUN,Out-of-bounds write,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,163,0,163,0,PatchCollision_AreaSwap_Update,35,147,181
CID23091-Out-of-bounds read,23091 Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/asm/bg_player_asm_util.cpp,3292,0,3292,0,BG_PlayerASM_IsTransitionReverse,57,3252,3308
CID22768-Out-of-bounds write,22768 Suspicious,OVERRUN,Out-of-bounds write,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,221,0,221,0,PatchCollision_AreaSwap_DestroyPhysicsInstances,20,206,225
CID22709-Out-of-bounds access,22709 Suspicious,OVERRUN,Out-of-bounds access,/code/src/physics/Private/Core/PhysicsRT_Ref.cpp,537,0,537,0,PhysicsRT_IsClientEntitylessScriptable,28,520,547
CID22543-Out-of-bounds read,22543 Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_scene.cpp,12039,0,12039,0,R_ProcessDynamicLightBSP_r,214,11839,12052
CID22455-Out-of-bounds access,22455 Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CustomElement_Anchored.cpp,572,0,572,0,LUIElement_Anchored_GetWorldPosition,104,506,609
CID22183-Untrusted value as argument,22183 Suspicious,TAINTED_SCALAR,Untrusted value as argument,/code/src/server_mp/sv_snapshot_mp.cpp,4811,0,4811,0,SV_SnapshotMP_EmitPacketClientCompass,188,4640,4827
CID22177-Out-of-bounds access,22177 Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_sp/g_turret_sp.cpp,76,0,76,0,G_TurretSP_SaveGame_Read,8,70,77
CID22145-Out-of-bounds write,22145 Suspicious,OVERRUN,Out-of-bounds write,/code/src/online/online_dcqos.cpp,431,0,431,0,Online_DcQos_SetResultState,7,426,432
CID22143-Out-of-bounds write,22143 Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_shared/bgame/common_item/bg_common_item.cpp,1107,0,1107,0,BG_CommonItem_GenerateFullWeaponStrings,294,1071,1364
CID21656-Out-of-bounds read,21656 Suspicious,OVERRUN,Out-of-bounds read,/code/src/PatchCollision/PatchCollision_AreaSwap.cpp,440,0,440,0,PatchCollision_AreaSwap_GetShapeForLoad,18,430,447
CID21106-Out-of-bounds read,21106 Suspicious,OVERRUN,Out-of-bounds read,/code/src/universal/memfile.cpp,854,0,854,0,MemFile_WriteDataInternal,76,825,900
CID21024-Out-of-bounds write,21024 Suspicious,OVERRUN,Out-of-bounds write,/code/src/vfx/Particles/ParticleManager.h,351,0,351,0,Allocate,36,325,360
