issue_id,original_cid,first_detected,severity,component,function,impact,abk_classification,name_with_cid
89,27396,09/27/24,Critical,Other,Trust_VerifyEmbeddedSignature,High,Suspicious,CID27396-Out-of-bounds access
90,27392,09/27/24,Critical,Other,BG_CommonItem_CheckIfItemDefHasTag,High,Suspicious,CID27392-Out-of-bounds read
91,27377,09/27/24,Critical,Other,Weather_GridDynamic_IsPrecipitating,High,Suspicious,CID27377-Out-of-bounds access
92,27376,09/27/24,Critical,Other,Weather_GridDynamic_UpdateTiles,High,Suspicious,CID27376-Out-of-bounds access
93,27360,09/16/24,Critical,Other,db_huft_build,High,Suspicious,CID27360-Out-of-bounds read
94,27300,09/16/24,Critical,Other,db_huft_build,High,Suspicious,CID27300-Out-of-bounds read
95,27244,09/11/24,Critical,Other,CG_Pose_DoBaseOriginController,High,Suspicious,CID27244-Out-of-bounds read
96,27190,09/10/24,Critical,Other,GetHalfEdgeMesh,High,Suspicious,CID27190-Out-of-bounds write
97,27182,09/10/24,Critical,Other,Weather_GridDynamic_Tile_Downscale,High,Suspicious,CID27182-Out-of-bounds write
98,27174,09/10/24,Critical,Other,Weather_GridDynamic_Tile_Downscale,High,Suspicious,CID27174-Out-of-bounds read
99,27097,08/23/24,Critical,Other,CG_Hang_PopulateIKTimings,High,Suspicious,CID27097-Out-of-bounds read
100,27094,08/23/24,Critical,Other,DB_BinaryPatch_BeginManifestLoad,High,Suspicious,CID27094-Out-of-bounds read
101,27093,08/23/24,Critical,Other,DB_BinaryPatch_BeginManifestLoad,High,Suspicious,CID27093-Out-of-bounds read
102,27064,08/01/24,Critical,Other,G_Objectives_Update,High,Suspicious,CID27064-Out-of-bounds access
103,27060,08/01/24,Critical,Other,G_PIP_Read,High,Suspicious,CID27060-Out-of-bounds access
104,27059,08/01/24,Critical,Other,DB_Zones_SetZoneFlag,High,Suspicious,CID27059-Out-of-bounds write
105,27056,08/01/24,Critical,Other,stbi__parse_huffman_block,High,Suspicious,CID27056-Out-of-bounds read
106,27055,08/01/24,Critical,Other,stbi__parse_huffman_block,High,Suspicious,CID27055-Out-of-bounds read
107,27054,08/01/24,Critical,Other,PatchCollision_AreaSwap_GetShapeForLoad,High,Suspicious,CID27054-Out-of-bounds read
108,27046,08/01/24,Critical,Other,Com_PlayerData_CacheStatsGroupData,High,Suspicious,CID27046-Out-of-bounds write
109,27044,08/01/24,Critical,Other,NetConstStrings_RegisterScriptDvars,High,Suspicious,CID27044-Out-of-bounds write
110,27043,08/01/24,Critical,Other,DB_Zones_Init,High,Suspicious,CID27043-Out-of-bounds write
111,27036,08/01/24,Critical,Other,SaveSP_Read,High,Suspicious,CID27036-Out-of-bounds access
112,27034,08/01/24,Critical,Other,DB_Zones_UpdateZoneFlagLoadOrder,High,Suspicious,CID27034-Out-of-bounds read
113,27031,08/01/24,Critical,Other,stbi__parse_huffman_block,High,Suspicious,CID27031-Out-of-bounds read
114,27029,08/01/24,Critical,Other,DB_Zones_ResetZoneFlag,High,Suspicious,CID27029-Out-of-bounds write
115,27025,08/01/24,Critical,Other,stbi__parse_huffman_block,High,Suspicious,CID27025-Out-of-bounds read
116,27016,07/31/24,Critical,Other,Online_ArchiveReplayPlayback_Setup,High,Suspicious,CID27016-Buffer not null terminated
117,26847,07/31/24,Critical,Other,R_UpdateCurrentAndDefaultAdapter,High,Suspicious,CID26847-Out-of-bounds access
118,26822,07/31/24,Critical,Other,Engine_GetDownloadHistoryText,High,Suspicious,CID26822-Illegal address computation
119,26803,07/31/24,Critical,Other,LiveStorage_IsStatsGroupObfuscated,High,Suspicious,CID26803-Out-of-bounds read
120,26790,07/31/24,Critical,Other,LiveStorage_GetPlayerDataBufferSize,High,Suspicious,CID26790-Out-of-bounds access
121,26768,07/31/24,Critical,Other,Com_PlayerData_GetStatsGroupSize,High,Suspicious,CID26768-Out-of-bounds access
122,26759,07/31/24,Critical,Other,CG_ClientModel_DeferredCollisions_ExecuteVelocitiesSubRequestRun,High,Suspicious,CID26759-Out-of-bounds write
123,26671,07/31/24,Critical,Other,GetUserProfileForUI,High,Suspicious,CID26671-Out-of-bounds access
124,26580,07/31/24,Critical,Other,GetChannel,High,Suspicious,CID26580-Out-of-bounds access
125,26523,07/31/24,Critical,Other,Com_PlayerData_GetStatsGroupOffset,High,Suspicious,CID26523-Out-of-bounds access
126,26475,07/31/24,Critical,Other,BG_VehicleLeanOut_StartLerpViewAngles,High,Suspicious,CID26475-Out-of-bounds read
127,26379,07/31/24,Critical,Other,DynEntCL_DeferredCollisions_ExecuteVelocitiesSubRequestRun,High,Suspicious,CID26379-Out-of-bounds write
128,26324,07/31/24,Critical,Other,Engine_GetDownloadHistoryText,High,Suspicious,CID26324-Out-of-bounds read
129,26318,07/31/24,Critical,Other,ReadCustomizationModelsForProfile,High,Suspicious,CID26318-Out-of-bounds access
130,26311,07/31/24,Critical,Other,CL_PlayerData_SetStatsBlobDirty,High,Suspicious,CID26311-Out-of-bounds access
131,26284,07/31/24,Critical,Other,RecvFrom,High,Suspicious,CID26284-Illegal address computation
132,26280,07/31/24,Critical,Other,R_RegisterFont,High,Suspicious,CID26280-Out-of-bounds write
133,26273,07/31/24,Critical,Other,LiveStorage_GetStatsGroupBuffer,High,Suspicious,CID26273-Out-of-bounds access
134,26235,07/31/24,Critical,Other,Com_PlayerData_GetStatsGroupDataSize,High,Suspicious,CID26235-Out-of-bounds access
135,26124,07/31/24,Critical,Other,CG_ServerCmdSP_LocalSoundPlay,High,Suspicious,CID26124-Out-of-bounds access
136,26045,07/31/24,Critical,Other,Online_InstanceInventory_ReadGameModeSettings,Low,Suspicious,CID26045-Copy into fixed size buffer
137,26034,07/31/24,Critical,Other,GetElementById,High,Suspicious,CID26034-Out-of-bounds access
138,25987,03/29/24,Critical,Other,WaterDynamic_PhysicsBehaviour_IsInDelay,High,Suspicious,CID25987-Out-of-bounds access
139,25764,03/29/24,Critical,Other,CG_Utils_ProcessNotetracksWorldRemap,High,Suspicious,CID25764-Out-of-bounds access
140,25720,03/29/24,Critical,Other,Read,High,Suspicious,CID25720-Out-of-bounds write
141,25520,03/29/24,Critical,Other,SV_SnapWorkersMP_BuildServerScriptablesCmd,Medium,Suspicious,CID25520-Untrusted value as argument
142,25502,03/29/24,Critical,Other,DynEntCL_Spatial_MarkIfMissingCollisionTiles,High,Suspicious,CID25502-Out-of-bounds access
143,25352,03/29/24,Critical,Other,BG_CommonItem_GenerateFullWeaponStrings,High,Suspicious,CID25352-Out-of-bounds write
144,25232,03/29/24,Critical,Other,DDL_ParseExt,High,Suspicious,CID25232-Out-of-bounds write
145,25193,03/29/24,Critical,Other,DDL_BeginParseSession,High,Suspicious,CID25193-Out-of-bounds read
146,25110,03/29/24,Critical,Other,CG_ClientCharacter_CreateNoteModel,High,Suspicious,CID25110-Buffer not null terminated
147,25077,03/29/24,Critical,Other,CL_ParseMP_ParsePacketEntities,High,Suspicious,CID25077-Out-of-bounds access
148,24998,03/29/24,Critical,Other,CheckMessageProfanityComplete,Low,Suspicious,CID24998-Copy into fixed size buffer
149,24714,03/29/24,Critical,Other,GetComponent,High,Suspicious,CID24714-Out-of-bounds access
150,24664,03/29/24,Critical,Other,Init,Low,Suspicious,CID24664-Copy into fixed size buffer
151,24600,03/29/24,Critical,Other,CG_Weapon_AddViewmodelHand,High,Suspicious,CID24600-Out-of-bounds access
152,24579,03/29/24,Critical,Other,ResolveNewAddr,High,Suspicious,CID24579-Illegal address computation
153,24548,03/29/24,Critical,Other,XAnimFrameStreaming_AddAnim,High,Suspicious,CID24548-Out-of-bounds access
154,24422,03/29/24,Critical,Other,G_SaveSP_ReadBadPlaces,High,Suspicious,CID24422-Out-of-bounds access
155,24293,03/29/24,Critical,Other,DObjGetBasePoseMatrix,High,Suspicious,CID24293-Out-of-bounds read
156,24077,03/29/24,Critical,Other,PhysicsRT_Vehicle_BuoyancyCast,High,Suspicious,CID24077-Out-of-bounds access
157,24015,03/29/24,Critical,Other,PatchCollision_AreaSwap_Update,High,Suspicious,CID24015-Out-of-bounds write
