name,help,type,message,file,start_line,start_offset,end_line,end_offset
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/ai/bots/ai_bot_api.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/game_iw9/playerspawn/playerspawn_selection.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,9889,0,9889,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_Render.cpp,1632,0,1632,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_player_collision.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/cgame_mp/cg_corpse_snapshot_mp.cpp,757,0,757,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_animset_util.cpp,2697,0,2697,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_animset_util.cpp,2585,0,2585,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/import_settings_internal.cpp,287,0,287,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/ai/ai_civilian_reaction_manager.cpp,64,0,64,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_customization_mp.cpp,1411,0,1411,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame_mp/cg_servercmds_mp.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/ai/ai_civilian_reaction_manager.cpp,52,0,52,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_nlg_atlas.cpp,3315,0,3315,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_nlg_atlas.cpp,3334,0,3334,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/xanim/xanim.cpp,20431,0,20431,0
Untrusted pointer write,Suspicious,TAINTED_SCALAR,Untrusted pointer write,/code/src/peripherals/streamdeck/streamdeck.cpp,248,0,248,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_gsp_partition.cpp,2828,0,2828,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/dw/dwEnvironment.cpp,793,0,793,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_player_data.cpp,145,0,145,0
Illegal address computation,Suspicious,OVERRUN,Illegal address computation,/code/src/dw/dwEnvironment.cpp,675,0,675,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_gsp_partition.cpp,2745,0,2745,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/dw/dwEnvironment.cpp,735,0,735,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/qcommon/com_gsp_partition.cpp,2784,0,2784,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/lui/LUI_CoD_PlayerData.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_taskgraph_compile.cpp,1422,0,1422,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_lightmap_atlas.cpp,2518,0,2518,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,Various,0,Various,0
Buffer not null terminated,Suspicious,BUFFER_SIZE,Buffer not null terminated,/code/src/online/creator/online_creator_dw.cpp,145,0,145,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/stream/stream_update.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,2140,0,2140,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_lightgrid_volumes_atlas.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_secondary_lighting.cpp,Various,0,Various,0
Out-of-bounds write,Suspicious,OVERRUN,Out-of-bounds write,/code/src/gfx/r_secondary_lighting.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/online_userprofiles/online_userprofiles_ddlutils.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame_mp/cg_weapons_mp.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/ai_civilian_manager.cpp,772,0,772,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/gfx/r_material_pso.cpp,4029,0,4029,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/bgame/bg_execution_util.cpp,2640,0,2640,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_transients_visibility.cpp,75,0,75,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/ai/ai_civilian_manager.cpp,706,0,706,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/client/cl_transients_visibility.cpp,88,0,88,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/notifications/online_notification_service.cpp,270,0,270,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/online/notifications/online_notification_service.cpp,257,0,257,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/cgame/cg_world_streaming.cpp,869,0,869,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/keybinds.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/common/libs/fracture/fracture/half_edge_clipper.cpp,37,0,37,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/common/libs/MathCore/MathCore/math_ops.cpp,Various,0,Various,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/keybinds.cpp,404,0,404,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/qcommon/keybinds.cpp,295,0,295,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/game/g_targets.cpp,Various,0,Various,0
Out-of-bounds read,Suspicious,OVERRUN,Out-of-bounds read,/code/src/game_iw9/bgame/bg_scr_main.cpp,7371,0,7371,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game/g_scr_weapon.cpp,3785,0,3785,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/game_iw9/game_mp/g_scr_main_mp.cpp,10140,0,10140,0
Out-of-bounds access,Suspicious,OVERRUN,Out-of-bounds access,/code/src/script/scr_readwrite.cpp,1324,0,1324,0
